code,name
JEJI,Fragiaquic Hapludalfs
JEJJ,Fragic Oxyaquic Hapludalfs
JEJK,Aquic Arenic Hapludalfs
JEJL,Arenic Oxyaquic Hapludalfs
JEJM,Anthraquic Hapludalfs
JEJN,Albaquultic Hapludalfs
JEJO,Albaquic Hapludalfs
JEJP,Glossaquic Hapludalfs
JEJQ,Aquultic Hapludalfs
JEJR,Aquollic Hapludalfs
JEJS,Aquic Hapludalfs
JEJT,Mollic Oxyaquic Hapludalfs
JEJU,Oxyaquic Hapludalfs
JEJV,Fragic Hapludalfs
JEJW,Lamellic Hapludalfs
JEJX,Psammentic Hapludalfs
JEJY,Arenic Hapludalfs
JEJZ,Glossic Hapludalfs
JEJZa,Inceptic Hapludalfs
JEJZb,Ultic Hapludalfs
JEJZc,Mollic Hapludalfs
JEJZd,Typic Hapludalfs
JEEA,Plinthaquic Kandiudalfs
JEEB,Aquic Kandiudalfs
JEEC,Oxyaquic Kandiudalfs
JEED,Arenic Plinthic Kandiudalfs
JEEE,Grossarenic Plinthic Kandiudalfs
JEEF,Arenic Kandiudalfs
JEEG,Grossarenic Kandiudalfs
JEEH,Plinthic Kandiudalfs
JEEI,Rhodic Kandiudalfs
JEEJ,Mollic Kandiudalfs
JEEK,Typic Kandiudalfs
JEFA,Lithic Kanhapludalfs
JEFB,Aquic Kanhapludalfs
JEFC,Oxyaquic Kanhapludalfs
JEFD,Rhodic Kanhapludalfs
JEFE,Typic Kanhapludalfs
JEAA,Vertic Natrudalfs
JEAB,Glossaquic Natrudalfs
JEAC,Aquic Natrudalfs
JEAD,Typic Natrudalfs
JEGA,Vertic Paleudalfs
JEGB,Andic Paleudalfs
JEGC,Vitrandic Paleudalfs
JEGD,Anthraquic Paleudalfs
JEGE,Fragiaquic Paleudalfs
JEGF,Plinthaquic Paleudalfs
JEGG,Glossaquic Paleudalfs
JEGH,Albaquic Paleudalfs
JEGI,Aquic Paleudalfs
JEGJ,Oxyaquic Paleudalfs
JEGK,Fragic Paleudalfs
JEGL,Arenic Plinthic Paleudalfs
JEGM,Grossarenic Plinthic Paleudalfs
JEGN,Lamellic Paleudalfs
JEGO,Psammentic Paleudalfs
JEGP,Arenic Paleudalfs
JEGQ,Grossarenic Paleudalfs
JEGR,Plinthic Paleudalfs
JEGS,Glossic Paleudalfs
JEGT,Rhodic Paleudalfs
JEGU,Mollic Paleudalfs
JEGV,Typic Paleudalfs
JEHA,Typic Rhodudalfs
JCA,Durustalfs
JCB,Plinthustalfs
JCC,Natrustalfs
JCD,Kandiustalfs
JCE,Kanhaplustalfs
JCF,Paleustalfs
JCG,Rhodustalfs
JCH,Haplustalfs
JCAA,Typic Durustalfs
JCHA,Lithic Haplustalfs
JCHB,Aquertic Haplustalfs
JCHC,Oxyaquic Vertic Haplustalfs
JCHD,Torrertic Haplustalfs
JCHE,Udertic Haplustalfs
JCHF,Vertic Haplustalfs
JCHG,Aquic Arenic Haplustalfs
JCHH,Aquultic Haplustalfs
JCHI,Aquic Haplustalfs
JCHJ,Oxyaquic Haplustalfs
JCHK,Vitrandic Haplustalfs
JCHL,Lamellic Haplustalfs
JCHM,Psammentic Haplustalfs
JCHN,Arenic Aridic Haplustalfs
JCHO,Arenic Haplustalfs
JCHP,Calcidic Haplustalfs
JCHQ,Aridic Haplustalfs
JCHR,Kanhaplic Haplustalfs
JCHS,Inceptic Haplustalfs
JCHT,Calcic Udic Haplustalfs
JCHU,Ultic Haplustalfs
JCHV,Calcic Haplustalfs
JCHW,Udic Haplustalfs
JCHX,Typic Haplustalfs
JCDA,Grossarenic Kandiustalfs
JCDB,Aquic Arenic Kandiustalfs
JCDC,Plinthic Kandiustalfs
JCDD,Aquic Kandiustalfs
JCDE,Arenic Aridic Kandiustalfs
JCDF,Arenic Kandiustalfs
JCDG,Aridic Kandiustalfs
JCDH,Udic Kandiustalfs
JCDI,Rhodic Kandiustalfs
JCDJ,Typic Kandiustalfs
JCEA,Lithic Kanhaplustalfs
JCEB,Aquic Kanhaplustalfs
JCEC,Aridic Kanhaplustalfs
JCED,Udic Kanhaplustalfs
JCEE,Rhodic Kanhaplustalfs
JCEF,Typic Kanhaplustalfs
JCCA,Salidic Natrustalfs
JCCB,Leptic Torrertic Natrustalfs
JCCC,Torrertic Natrustalfs
JCCD,Aquertic Natrustalfs
JCCE,Aridic Leptic Natrustalfs
JCCF,Vertic Natrustalfs
JCCG,Aquic Arenic Natrustalfs
JCCH,Aquic Natrustalfs
JCCI,Arenic Natrustalfs
JCCJ,Petrocalcic Natrustalfs
JCCK,Leptic Natrustalfs
JCCL,Haplargidic Natrustalfs
JCCM,Aridic Glossic Natrustalfs
JCCN,Aridic Natrustalfs
JCCO,Mollic Natrustalfs
JCCP,Typic Natrustalfs
JCFA,Aquertic Paleustalfs
JCFB,Oxyaquic Vertic Paleustalfs
JCFC,Udertic Paleustalfs
JCFD,Vertic Paleustalfs
JCFE,Aquic Arenic Paleustalfs
JCFF,Aquic Paleustalfs
JCFG,Oxyaquic Paleustalfs
JCFH,Lamellic Paleustalfs
JCFI,Psammentic Paleustalfs
JCFJ,Arenic Aridic Paleustalfs
JCFK,Grossarenic Paleustalfs
JCFL,Arenic Paleustalfs
JCFM,Plinthic Paleustalfs
JCFN,Petrocalcic Paleustalfs
JCFO,Calcidic Paleustalfs
JCFP,Aridic Paleustalfs
JCFQ,Kandic Paleustalfs
JCFR,Rhodic Paleustalfs
JCFS,Ultic Paleustalfs
JCFT,Udic Paleustalfs
JCFU,Typic Paleustalfs
JCBA,Typic Plinthustalfs
JCGA,Lithic Rhodustalfs
JCGB,Kanhaplic Rhodustalfs
JCGC,Udic Rhodustalfs
JCGD,Typic Rhodustalfs
JDA,Durixeralfs
JDB,Natrixeralfs
JDC,Fragixeralfs
JDD,Plinthoxeralfs
JDE,Rhodoxeralfs
JDF,Palexeralfs
JDG,Haploxeralfs
JDAA,Natric Durixeralfs
JDAB,Vertic Durixeralfs
JDAC,Aquic Durixeralfs
JDAD,Abruptic Haplic Durixeralfs
JDAE,Abruptic Durixeralfs
JDAF,Haplic Durixeralfs
JDAG,Typic Durixeralfs
JDCA,Andic Fragixeralfs
JDCB,Vitrandic Fragixeralfs
JDCC,Mollic Fragixeralfs
JDCD,Aquic Fragixeralfs
JDCE,Inceptic Fragixeralfs
JDCF,Typic Fragixeralfs
JDGA,Lithic Mollic Haploxeralfs
JDGB,Lithic Ruptic-Inceptic Haploxeralfs
JDGC,Lithic Haploxeralfs
JDGD,Vertic Haploxeralfs
JDGE,Aquandic Haploxeralfs
JDGF,Andic Haploxeralfs
JDGG,Vitrandic Haploxeralfs
JDGH,Fragiaquic Haploxeralfs
JDGI,Aquultic Haploxeralfs
JDGJ,Aquic Haploxeralfs
JDGK,Natric Haploxeralfs
JDGL,Fragic Haploxeralfs
JDGM,Lamellic Haploxeralfs
JDGN,Psammentic Haploxeralfs
JDGO,Plinthic Haploxeralfs
JDGP,Calcic Haploxeralfs
JDGQ,Inceptic Haploxeralfs
JDGR,Ultic Haploxeralfs
JDGS,Mollic Haploxeralfs
JDGT,Typic Haploxeralfs
JDBA,Vertic Natrixeralfs
JDBB,Aquic Natrixeralfs
JDBC,Typic Natrixeralfs
JDFA,Vertic Palexeralfs
JDFB,Aquandic Palexeralfs
JDFC,Andic Palexeralfs
JDFD,Vitrandic Palexeralfs
JDFE,Fragiaquic Palexeralfs
JDFF,Aquic Palexeralfs
JDFG,Petrocalcic Palexeralfs
JDFH,Lamellic Palexeralfs
JDFI,Psammentic Palexeralfs
JDFJ,Arenic Palexeralfs
JDFK,Natric Palexeralfs
JDFL,Fragic Palexeralfs
JDFM,Calcic Palexeralfs
JDFN,Plinthic Palexeralfs
JDFO,Ultic Palexeralfs
JDFP,Haplic Palexeralfs
JDFQ,Mollic Palexeralfs
JDFR,Typic Palexeralfs
JDDA,Typic Plinthoxeralfs
JDEA,Lithic Rhodoxeralfs
JDEB,Vertic Rhodoxeralfs
JDEC,Petrocalcic Rhodoxeralfs
JDED,Calcic Rhodoxeralfs
JDEE,Inceptic Rhodoxeralfs
JDEF,Typic Rhodoxeralfs
DA,Aquands
DB,Gelands
DC,Cryands
DD,Torrands
DE,Xerands
DF,Vitrands
DG,Ustands
DH,Udands
DAA,Gelaquands
DAB,Cryaquands
DAC,Placaquands
DAD,Duraquands
DAE,Vitraquands
